Current Position,Past Positions,Skills,Experience,Career Goal
DevOps Engineer,"Database Administrator, Network Engineer","UI/UX Design, SQL, Cybersecurity, Data Science",5+ years,Database Administrator
Renewable Energy Engineer,"Aerospace Engineer, Transportation Engineer, Biomedical Engineer","CAD (Computer-Aided Design), Thermodynamics, Structural Analysis, Materials Science, Fluid Mechanics",7+ years,Transportation Engineer
Pathologist,"Cardiologist, Radiologist, Public Health Specialist","Radiology, Patient Care, Medical Ethics, Anatomy & Physiology",4+ years,Anesthesiologist
Clinical Research Coordinator,Pediatrician,"Radiology, Emergency Response, Anatomy & Physiology, Pharmacology",10+ years,Public Health Specialist
AI Research Scientist,"UI/UX Designer, System Administrator","Data Science, Java, UI/UX Design, Machine Learning, C++",6+ years,Cloud Architect
Neurologist,"Public Health Specialist, Radiologist","Radiology, Pharmacology, Emergency Response, Medical Ethics, Patient Care",8+ years,Radiologist
Neurologist,"Clinical Research Coordinator, Cardiologist, Psychiatrist","Clinical Research, Medical Ethics, Patient Care, Anatomy & Physiology, Pharmacology",9+ years,Pediatrician
Public Health Specialist,"Emergency Medicine Physician, Neurologist, Surgeon","Emergency Response, Radiology, Patient Care",14+ years,Neurologist
Cloud Architect,"Software Engineer, Data Scientist","SQL, Python, DevOps, C++, Data Science, Machine Learning",6+ years,Game Developer
Machine Learning Engineer,"Software Engineer, AI Research Scientist","Python, UI/UX Design, Machine Learning, Java, SQL",5+ years,Machine Learning Engineer
Network Engineer,AI Research Scientist,"Cloud Computing, Python, SQL, Java, Machine Learning",3+ years,Cloud Architect
Automation Engineer,"Civil Engineer, Telecommunications Engineer, Transportation Engineer","Fluid Mechanics, Structural Analysis, Materials Science, Robotics, Circuit Design, CAD (Computer-Aided Design)",15+ years,Mechatronics Engineer
Anesthesiologist,"Surgeon, Medical Researcher","Medical Ethics, Patient Care, Anatomy & Physiology",8+ years,General Practitioner
Radiologist,"Medical Researcher, General Practitioner","Emergency Response, Patient Care, Radiology, Pharmacology",5+ years,Clinical Research Coordinator
Geotechnical Engineer,"Power Systems Engineer, Civil Engineer, Structural Engineer","Structural Analysis, Circuit Design, Materials Science, Fluid Mechanics",11+ years,Transportation Engineer
Public Health Specialist,"Radiologist, Pathologist, General Practitioner","Patient Care, Clinical Research, Emergency Response, Anatomy & Physiology",11+ years,Oncologist
Anesthesiologist,"Oncologist, Psychiatrist, Medical Researcher","Clinical Research, Patient Care, Pharmacology, Medical Ethics, Emergency Response",12+ years,Cardiologist
Software Engineer,Mobile App Developer,"Machine Learning, Cybersecurity, UI/UX Design, C++, Data Science, Cloud Computing",15+ years,Blockchain Developer
Game Developer,Mobile App Developer,"DevOps, Machine Learning, Python",7+ years,System Administrator
Machine Learning Engineer,DevOps Engineer,"Data Science, C++, Cybersecurity, Python, Java, DevOps",5+ years,Software Engineer
Transportation Engineer,"Mechanical Engineer, Geotechnical Engineer","Fluid Mechanics, Materials Science, CAD (Computer-Aided Design), Thermodynamics, Circuit Design, Robotics",7+ years,Mechanical Engineer
Surgeon,"General Practitioner, Medical Researcher","Medical Ethics, Pharmacology, Clinical Research",9+ years,Public Health Specialist
IT Project Manager,"Database Administrator, Network Engineer, Blockchain Developer","C++, Java, Data Science, Cybersecurity",15+ years,Blockchain Developer
Mobile App Developer,Software Engineer,"Machine Learning, Cloud Computing, C++, Data Science",12+ years,Mobile App Developer
Mobile App Developer,System Administrator,"Java, Python, SQL, Cloud Computing, Data Science, UI/UX Design",9+ years,Cybersecurity Analyst
Emergency Medicine Physician,Cardiologist,"Pharmacology, Emergency Response, Radiology, Anatomy & Physiology, Clinical Research",1+ years,Emergency Medicine Physician
Electrical Engineer,Mechatronics Engineer,"Robotics, Fluid Mechanics, Circuit Design",5+ years,Materials Engineer
Medical Researcher,"Pediatrician, Genetic Counselor, General Practitioner","Anatomy & Physiology, Clinical Research, Emergency Response, Pharmacology, Patient Care, Medical Ethics",14+ years,Medical Researcher
Power Systems Engineer,"Telecommunications Engineer, Structural Engineer","Structural Analysis, CAD (Computer-Aided Design), Thermodynamics, Fluid Mechanics, Circuit Design",13+ years,Mechanical Engineer
Blockchain Developer,"IT Project Manager, Data Scientist, Machine Learning Engineer","SQL, Python, C++",9+ years,Data Scientist
Software Engineer,DevOps Engineer,"Cloud Computing, C++, Cybersecurity, UI/UX Design, Machine Learning",2+ years,DevOps Engineer
Mobile App Developer,Data Scientist,"Java, SQL, Data Science, C++, Machine Learning",1+ years,Cybersecurity Analyst
Materials Engineer,"Electrical Engineer, Mechanical Engineer","Circuit Design, Materials Science, Robotics",12+ years,Power Systems Engineer
Structural Engineer,"Aerospace Engineer, Civil Engineer","Robotics, CAD (Computer-Aided Design), Structural Analysis, Fluid Mechanics, Materials Science, Circuit Design",15+ years,Automation Engineer
General Practitioner,"Genetic Counselor, Pathologist","Radiology, Anatomy & Physiology, Patient Care",6+ years,Cardiologist
Emergency Medicine Physician,"Genetic Counselor, Pediatrician, Pathologist","Radiology, Patient Care, Emergency Response",5+ years,Public Health Specialist
Pediatrician,Anesthesiologist,"Anatomy & Physiology, Patient Care, Radiology, Pharmacology, Clinical Research, Medical Ethics",13+ years,Pathologist
AI Research Scientist,"Data Scientist, Cybersecurity Analyst","C++, UI/UX Design, Machine Learning, Data Science",14+ years,Mobile App Developer
General Practitioner,"Oncologist, Radiologist, Pediatrician","Emergency Response, Anatomy & Physiology, Patient Care, Radiology, Clinical Research",5+ years,Medical Researcher
Cloud Architect,System Administrator,"Python, Java, SQL",1+ years,Game Developer
Oncologist,"Psychiatrist, General Practitioner","Medical Ethics, Pharmacology, Radiology, Patient Care, Clinical Research, Emergency Response",2+ years,Anesthesiologist
Mechanical Engineer,"Robotics Engineer, Automation Engineer","Materials Science, Circuit Design, Thermodynamics",8+ years,Materials Engineer
Machine Learning Engineer,"Network Engineer, AI Research Scientist","UI/UX Design, Cybersecurity, Python, DevOps",12+ years,Machine Learning Engineer
Electrical Engineer,"Telecommunications Engineer, Robotics Engineer","Structural Analysis, Thermodynamics, Circuit Design",8+ years,Transportation Engineer
Clinical Research Coordinator,"Medical Researcher, Neurologist, General Practitioner","Anatomy & Physiology, Patient Care, Emergency Response, Pharmacology",9+ years,Anesthesiologist
Blockchain Developer,"Cloud Architect, AI Research Scientist, Game Developer","Data Science, Cybersecurity, Cloud Computing, Java, Python",14+ years,System Administrator
Blockchain Developer,"Cybersecurity Analyst, Cloud Architect, Game Developer","Cloud Computing, Cybersecurity, Java, DevOps, C++, UI/UX Design",10+ years,Game Developer
Public Health Specialist,"Psychiatrist, Cardiologist, Genetic Counselor","Pharmacology, Patient Care, Clinical Research, Anatomy & Physiology, Emergency Response",13+ years,Medical Researcher
Blockchain Developer,Cybersecurity Analyst,"Python, Data Science, Machine Learning",10+ years,DevOps Engineer
Network Engineer,System Administrator,"Machine Learning, Cloud Computing, Python, SQL, DevOps, Data Science",1+ years,Mobile App Developer
Anesthesiologist,"Psychiatrist, Oncologist, Radiologist","Radiology, Pharmacology, Patient Care, Medical Ethics, Clinical Research",8+ years,Medical Researcher
Cybersecurity Analyst,"Database Administrator, Network Engineer, UI/UX Designer","SQL, Machine Learning, Python, UI/UX Design",10+ years,Software Engineer
Surgeon,Cardiologist,"Medical Ethics, Clinical Research, Anatomy & Physiology",15+ years,Pathologist
Cardiologist,"Psychiatrist, Pediatrician, Clinical Research Coordinator","Patient Care, Medical Ethics, Anatomy & Physiology, Pharmacology, Clinical Research, Emergency Response",1+ years,Oncologist
Public Health Specialist,Pediatrician,"Radiology, Emergency Response, Pharmacology, Patient Care, Clinical Research",10+ years,Public Health Specialist
Software Engineer,"Game Developer, Network Engineer, Cloud Architect","Data Science, Cloud Computing, SQL, DevOps, Python",14+ years,Blockchain Developer
Pediatrician,"General Practitioner, Surgeon, Cardiologist","Clinical Research, Patient Care, Radiology, Anatomy & Physiology, Emergency Response",9+ years,Oncologist
Structural Engineer,Civil Engineer,"Materials Science, Circuit Design, Fluid Mechanics",1+ years,Materials Engineer
Transportation Engineer,Structural Engineer,"Thermodynamics, CAD (Computer-Aided Design), Robotics, Circuit Design, Materials Science, Structural Analysis",2+ years,Transportation Engineer
Database Administrator,"Blockchain Developer, Mobile App Developer","Machine Learning, Python, DevOps, Cybersecurity, UI/UX Design",2+ years,Game Developer
Blockchain Developer,"UI/UX Designer, System Administrator","C++, Data Science, Cybersecurity",10+ years,Game Developer
Machine Learning Engineer,"Game Developer, Data Scientist, Network Engineer","Cloud Computing, Cybersecurity, C++, Machine Learning",1+ years,Cloud Architect
Pathologist,Surgeon,"Anatomy & Physiology, Emergency Response, Patient Care, Medical Ethics, Clinical Research",9+ years,Neurologist
Medical Researcher,Pediatrician,"Clinical Research, Medical Ethics, Radiology, Anatomy & Physiology, Emergency Response",10+ years,Surgeon
Renewable Energy Engineer,"Robotics Engineer, Mechatronics Engineer","Circuit Design, Fluid Mechanics, CAD (Computer-Aided Design), Structural Analysis, Robotics",10+ years,Mechanical Engineer
Game Developer,"Cloud Architect, Database Administrator, UI/UX Designer","Cloud Computing, Cybersecurity, Python",7+ years,AI Research Scientist
Clinical Research Coordinator,"Oncologist, Cardiologist","Pharmacology, Medical Ethics, Radiology, Emergency Response, Clinical Research, Patient Care",6+ years,Neurologist
Software Engineer,"Cybersecurity Analyst, Blockchain Developer, Machine Learning Engineer","Cybersecurity, SQL, Data Science, C++",13+ years,System Administrator
Robotics Engineer,Mechatronics Engineer,"Circuit Design, Thermodynamics, Fluid Mechanics",6+ years,Structural Engineer
Psychiatrist,"Cardiologist, Pediatrician, Anesthesiologist","Emergency Response, Patient Care, Medical Ethics",11+ years,Pathologist
Emergency Medicine Physician,"Public Health Specialist, Neurologist, Anesthesiologist","Emergency Response, Radiology, Anatomy & Physiology, Medical Ethics",8+ years,Medical Researcher
Robotics Engineer,"Structural Engineer, Civil Engineer","Circuit Design, Robotics, Materials Science, Thermodynamics, Fluid Mechanics",3+ years,Renewable Energy Engineer
Anesthesiologist,Emergency Medicine Physician,"Medical Ethics, Anatomy & Physiology, Clinical Research, Patient Care",12+ years,Radiologist
Pediatrician,"Neurologist, Oncologist, Emergency Medicine Physician","Pharmacology, Patient Care, Anatomy & Physiology, Clinical Research, Emergency Response, Medical Ethics",2+ years,Pathologist
Neurologist,"Anesthesiologist, Oncologist","Medical Ethics, Anatomy & Physiology, Pharmacology, Clinical Research, Emergency Response, Radiology",13+ years,Anesthesiologist
Structural Engineer,"Renewable Energy Engineer, Mechanical Engineer, Mechatronics Engineer","Fluid Mechanics, CAD (Computer-Aided Design), Thermodynamics, Circuit Design",9+ years,Power Systems Engineer
UI/UX Designer,"System Administrator, AI Research Scientist","Machine Learning, C++, Java, Python, DevOps",1+ years,Database Administrator
Aerospace Engineer,"Civil Engineer, Materials Engineer","Structural Analysis, Robotics, CAD (Computer-Aided Design), Thermodynamics",4+ years,Transportation Engineer
Power Systems Engineer,"Aerospace Engineer, Civil Engineer","Fluid Mechanics, Materials Science, Thermodynamics, Structural Analysis, CAD (Computer-Aided Design)",1+ years,Geotechnical Engineer
Genetic Counselor,Medical Researcher,"Pharmacology, Emergency Response, Medical Ethics, Clinical Research, Anatomy & Physiology",11+ years,Clinical Research Coordinator
Cybersecurity Analyst,"Machine Learning Engineer, System Administrator","UI/UX Design, SQL, Machine Learning, Cloud Computing",9+ years,Network Engineer
DevOps Engineer,AI Research Scientist,"Data Science, Cloud Computing, Java",6+ years,Cybersecurity Analyst
Database Administrator,"Software Engineer, Game Developer","C++, Cloud Computing, Machine Learning",12+ years,Data Scientist
Electrical Engineer,"Power Systems Engineer, Mechatronics Engineer, Transportation Engineer","Fluid Mechanics, Robotics, Materials Science, CAD (Computer-Aided Design), Circuit Design",10+ years,Transportation Engineer
Renewable Energy Engineer,"Civil Engineer, Robotics Engineer","Structural Analysis, Fluid Mechanics, Materials Science, CAD (Computer-Aided Design), Circuit Design, Thermodynamics",3+ years,Renewable Energy Engineer
Database Administrator,"Cloud Architect, Network Engineer","Java, Python, Machine Learning, DevOps",14+ years,Software Engineer
Renewable Energy Engineer,Biomedical Engineer,"CAD (Computer-Aided Design), Fluid Mechanics, Circuit Design, Materials Science, Robotics, Thermodynamics",11+ years,Geotechnical Engineer
Robotics Engineer,"Civil Engineer, Telecommunications Engineer","CAD (Computer-Aided Design), Thermodynamics, Structural Analysis, Robotics, Materials Science",12+ years,Power Systems Engineer
Mobile App Developer,"Game Developer, AI Research Scientist","Machine Learning, Java, DevOps, UI/UX Design, SQL",7+ years,DevOps Engineer
Structural Engineer,Geotechnical Engineer,"Structural Analysis, Thermodynamics, Fluid Mechanics",15+ years,Aerospace Engineer
Genetic Counselor,Medical Researcher,"Radiology, Clinical Research, Emergency Response, Patient Care, Pharmacology",12+ years,Surgeon
Neurologist,Psychiatrist,"Radiology, Patient Care, Pharmacology, Clinical Research, Medical Ethics, Anatomy & Physiology",14+ years,Emergency Medicine Physician
